FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
2001,Social And Recreation Fund,2014-04-15T12:00:00.000Z,2013,Tawa Progressive & ratepayers Association Inc.,Operational Assistance,-,-,All of Tawa,-,2/28/2014 12:00:00 AM,2/28/2015 12:00:00 AM,-,-,-,All,-,former residents of Tawa,-,-,-,-,1976.1,0,1976.1,1500,1500,Approved,Complete,Tawa residents are actively engaged in matters that affect the Tawa community,"Maintain an active membership of 10 (excluding the committee), have at least two meetings for members every year.",-,-,-,-,-,-,-,-,-
2002,Neighbours Day Aotearoa Fund,2016-10-27T12:00:00.000Z,2016,Tawa Progressive & Ratepayers Association Inc.,Neighbours Weekend,-,-,All of Tawa,-,10/27/2016 12:00:00 AM,3/31/2017 12:00:00 AM,2/1/2017 12:00:00 AM,3/31/2017 12:00:00 AM,-,All,All,-,-,-,-,-,500,0,500,500,500,Approved,Monitoring,A Record number of streets taking part,"We will ensure that the whole community (in the area related to the project) will be invited, ideally in person, via a phone call or printed invitation, event will also be promoted via; social media as appropriate","We will support these local events and agree on what happens next and how they keep in touch with our neighbours - including people who weren’t there;",-,-,-,-,-,-,-,-
2003,Creative Communities Local Funding Scheme (Legacy),2012-08-30T12:00:00.000Z,2012,Mariana Collette,Taniwha,-,-,Wellington Central,-,2/12/2013 12:00:00 AM,2/19/2013 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,4300,2211,2089,2000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2004,Business Improvement District Development Fund,2016-06-29T12:00:00.000Z,2015,Tawa Progressive & Ratepayers Association Inc.,Tawa BIDS,-,-,Tawa - Grenada North - Takapu Valley,-,6/27/2016 12:00:00 AM,6/30/2017 12:00:00 AM,5/30/2016 12:00:00 AM,5/30/2016 12:00:00 AM,-,-,-,-,-,-,-,-,50000,0,50000,50000,50000,Approved,Monitoring,"Form the Working Group to take forward the development of the BID proposal, contract the professional support needed","Develop, in consultation with the local business community, the BID proposal, for submission to WCC.",Form a legal entity required (company or incorporated society) outside the Tawa Progressive and Ratepayers Association,Stakeholder interviews and property information collection (by 15/9/16). Two public strategy development workshops which are promoted and advertised(on 20-21/9/16). Develop final strategy document (by 7/10/16). Public information meeting (15/10/16),"Obtain WCC approval to put the proposal to a vote and for that vote to be successful, hold special general meeting if successful (8/2/17)",-,-,-,-,-,-
2005,Tawa Community Funding,2017-02-27T12:00:00.000Z,2016,Tawa Progressive & Ratepayers Association Inc.,Spring into Tawa 2017,-,-,Tawa,-,10/28/2017 12:00:00 AM,10/28/2017 12:00:00 AM,2/26/2017 12:00:00 AM,2/26/2017 12:00:00 AM,-,All,All,-,-,-,-,-,6788,5788,1000,1000,1000,Approved,Monitoring,"Stronger Tawa community with stronger connections, aiming to add to the vibrancy of Tawa",Local groups and schools able to fundraise and raise awareness,Successful festival that draws in a lot of the Tawa community and people from the surrounding areas,-,-,-,-,-,-,-,-
2006,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,Tawa Progressive & Ratepayers Association Inc.,Operational Assistance,-,-,All of Tawa,-,4/1/2017 12:00:00 AM,3/31/2018 12:00:00 AM,2/17/2017 12:00:00 AM,2/17/2017 12:00:00 AM,-,All,Wider community,-,-,-,-,-,1500,0,1500,1500,500,Approved,Monitoring,"Have a committee meeting/AGM at least twice a year (as per your constitution/rules), have an active membership of 10 or more - excluding the committee, keep accurate and detailed accounts and make your accounts and minutes available to WCC.","Communicate with residents in the area, in appropriate ways to reach as many people as possible - moving to digital formats rather than printed material (e-newsletters, website, social media ), please add us to any electronic email distribution lists.",Have an up to date profile on CommunityFinder.org.nz,"Grow your membership in the year, tell us how you have done this and how you have measured this.","Have a positive inclusive approach to working with all residents, reporting on examples of projects or initiatives that build connections and neighbourliness.",-,-,-,-,-,-
2007,Social And Recreation Fund,2015-07-13T12:00:00.000Z,2015,Tawa Progressive & Ratepayers Association Inc.,Sponsoring a float in the Tawa Christmas Parade,-,-,Tawa - Grenada North - Takapu Valley,-,12/4/2015 12:00:00 AM,12/7/2015 12:00:00 AM,6/12/2015 12:00:00 AM,6/12/2015 12:00:00 AM,-,All,All,-,-,-,Clearly visible signage,Free to all,2955.5,0,2955.5,2955.5,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2008,Creative Communities Local Funding Scheme (Legacy),2013-02-27T12:00:00.000Z,2012,Marion Townend,Music and friendship - Arnold Trowell and Katherine Mansfield,-,-,-,-,10/10/2013 12:00:00 AM,10/11/2013 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,1200,200,1000,1000,1000,Approved,Complete,More awareness of the life and work of Arnold Trowell,More awareness of Katherine Mansfield's interest in music and musical ability,More awareness of the cultural life in Wellington at the end of the 19th century,Encourage use of St John's church as a concert venue,-,-,-,-,-,-,-
2009,Social And Recreation Fund,2013-10-30T12:00:00.000Z,2013,Tawa Rugby football club,synthetic turf,-,-,Tawa,-,9/26/2013 12:00:00 AM,9/26/2013 12:00:00 AM,-,-,-,All,All,-,-,-,Clearly visible signage,Koha/donation,161141,135000,26141,15000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2010,Built Heritage Incentive Fund,2016-02-09T12:00:00.000Z,2015,Mark's Folly Ltd,T & G Building Development,-,-,Wellington Central,-,4/1/2016 12:00:00 AM,8/31/2016 12:00:00 AM,2/2/2016 12:00:00 AM,2/2/2016 12:00:00 AM,-,-,-,-,-,-,-,-,682553,582553,100000,100000,70000,Approved,Monitoring,"The T&G Building will be seismically sound, and up to 100% NBS as nearly as practicable",The Wellington City public will identify the T&G Building as a prime example along Wellington’s Golden Mile of the ‘Chicago’ building style – adopted by New Zealand’s transitional period between the Classical Revival and Art Deco architectural movements,"The restoration will enhance the streetscape, and the restored property will retain its place as an iconic building on the corner of Grey St and Lambton Quay.","The upgrade will ensure a long term future for the T&G Building, cementing its place in the Central Business District for the public and tourists to enjoy.",The accommodation will provide ongoing retail space at ground floor level with the upper floors being office space.,-,-,-,-,-,-
